artist,group
C. Tangana,Solo
LANY,Group
Demi Lovato,Solo
Portugal. The Man,Group
The Script,Group
Vance Joy,Solo
Mc Livinho,Solo
187 Strassenbande,Group
EXO,Group
Cash Cash,Group
Louis Tomlinson,Solo
Romeo Santos,Solo
Yo Gotti,Solo
Becky G,Solo
Maite Perroni,Solo
Charli XCX,Solo
Dimitri Vegas & Like Mike,Group
Cardi B,Solo
Abraham Mateo,Solo
Pabllo Vittar,Solo
6LACK,Solo
KAROL G,Solo
Avicii,Solo
P!nk,Solo
Marshmello,Solo
Wiz Khalifa,Solo
DJ Jonathan,Solo
Bonnie Tyler,Solo
Thirty Seconds To Mars,Group
Foo Fighters,Group
Miguel,Solo
A$AP Mob,Group
Alex Sensation,Solo
Tay-K,Solo
Yandel,Solo
Kelly Clarkson,Solo
U2,Group
Lil Pump,Solo
Natti Natasha,Solo
Joey Montana,Solo
Tove Styrke,Solo
Jesse & Joy,Group
A$AP Ferg,Solo
"Earth, Wind & Fire",Group
R3HAB,Solo
ALMA,Solo
Niska,Solo
Kollegah,Solo
Tom Petty,Solo
Tom Petty and the Heartbreakers,Group
NF,Solo
Kane Brown,Solo
Rich The Kid,Solo
Big Shaq,Solo
Bausa,Solo
Red Hot Chili Peppers,Group
Daya,Solo
De La Ghetto,Solo
Ty Dolla $ign,Solo
Ray Parker Jr.,Solo
Offset,Solo
AC/DC,Group
"Bobby """"Boris"""" Pickett",Solo
Rockwell,Solo
Blue Öyster Cult,Group
The Citizens of Halloween,Group
N.E.R.D,Group
Bad Bunny,Solo
Lil Xan,Solo
Bastille,Group
Famous Dex,Solo
6ix9ine,Solo
Lil Peep,Solo
Diplo,Solo
22 Savage,Solo
YBN Nahmir,Solo
Jason Mraz,Solo
Craig David,Solo
Salmo,Solo
Andy Williams,Solo
Anita Kerr Singers,Solo
MC's Jhowzinho & Kadinho,Group
John Lennon,Solo
José Feliciano,Solo
Jaden,Solo
The Pogues,Group
Booba,Solo
Mykola Dmytrovych Leontovych,Solo
Pentatonix,Group
Trippie Redd,Solo
Britney Spears,Solo
Bing Crosby,Solo
Daryl Hall & John Oates,Group
Meghan Trainor,Solo
Michael Bublé,Solo
MC Fioti,Solo
Bobby Helms,Solo
Wolfine,Solo
Huncho Jack,Group
The Beach Boys,Group
The Ronettes,Group
Idina Menzel,Solo
Boney M.,Group
Leona Lewis,Solo
Melanie Thornton,Solo
Slade,Group
Nat King Cole,Solo
Tony Bennett,Solo
Frank Sinatra,Solo
Dean Martin,Solo
Jona Lewie,Solo
Pretenders,Group
Cliff Richard,Solo
Carpenters,Group
Kay Starr,Solo
Perry Como,Solo
Elvis Presley,Solo
Quality Control,Group
Zac Efron,Solo
Keala Settle,Solo
Juan Magán,Solo
Hugh Jackman,Solo
Outkast,Group
Bee Gees,Group
Shaggy,Solo
The Clash,Group
Eurythmics,Group
Aretha Franklin,Solo
The Beatles,Group
TOTO,Group
Loren Allred,Solo
Ziv Zaifman,Solo
Matt Terry,Solo
Lil Skies,Solo
Michelle Williams,Solo
Austyn Johnson,Solo
Troye Sivan,Solo
Jay Rock,Solo
The Cranberries,Group
Lean Trap,Solo
Sfera Ebbasta,Solo
Ramz,Solo
Carnage,Solo
Jojo Maronttinni,Solo
Bazzi,Solo
Ghali,Solo
Dj Kass,Solo
CHVRCHES,Group
Rich Brian,Solo
Red Velvet,Group
ScHoolboy Q,Solo
BlocBoy JB,Solo
Vince Staples,Solo
SOB X RBE,Group
Jorja Smith,Solo
Ab-Soul,Solo
Zacari,Solo
Mozzy,Solo
MC Loma e As Gêmeas Lacração,Group
Sofía Reyes,Solo
Reik,Group
Tom Walker,Solo
A$AP Rocky,Solo
Glades,Group
5 Seconds of Summer,Group
Janelle Monáe,Solo
Mau y Ricky,Group
Tory Lanez,Solo
j-hope,Solo
Swae Lee,Solo
Years & Years,Group
HRVY,Solo
Dennis Lloyd,Solo
DJ A1,Solo
King Princess,Solo
Lil Dicky,Solo
KHEA,Solo
Panic! At The Disco,Group
George Ezra,Solo
Madison Beer,Solo
Dan + Shay,Group
Hayley Kiyoko,Solo
Zé Neto & Cristiano,Group
Poo Bear,Solo
Bomba Estéreo,Group
NOTD,Group
Florence + The Machine,Group
Nio Garcia,Solo
Jorge & Mateus,Group
MC Kekel,Solo
Leslie Grace,Solo
Billie Eilish,Solo
Capo Plaza,Solo
Seeb,Group
Tim Berg,Solo
Banx & Ranx,Group
Mason Ramsey,Solo
Capital Bra,Solo
Gzuz,Solo
MC MM,Solo
MC WM,Solo
Paulo Londra,Solo
Charlie Charles,Solo
Christina Aguilera,Solo
Jess Glynne,Solo
J-AX,Solo
Alvaro Soler,Solo
Arctic Monkeys,Group
Dark Polo Gang,Group
Juice WRLD,Solo
Netta,Solo
Eleni Foureira,Solo
Mikolas Josef,Solo
Michael Schulte,Solo
Benjamin Ingrosso,Solo
Tee Grizzley,Solo
Lil Baby,Solo
Luis Miguel,Solo
Aldair Playboy,Solo
Loud Luxury,Group
Pusha T,Solo
Matheus & Kauan,Group
Wesley Safadão,Solo
The 1975,Group
Florida Georgia Line,Group
KIDS SEE GHOSTS,Group
Summer Cem,Solo
MC Bruninho,Solo
Louis The Child,Group
Damso,Solo
BLACKPINK,Group
Nas,Solo
Ella Mai,Solo
The Carters,Group
PNL,Group
LUDMILLA,Solo
Alec Benjamin,Solo
YG,Solo
Brytiago,Solo
OMI,Solo
Dynoro,Solo
Bushido,Solo
"Baddiel, Skinner & Lightning Seeds",Group
Meek Mill,Solo
Justin Quiles,Solo
Street Rappers,Group
benny blanco,Solo
Alex Rose,Solo
Rvssian,Solo
El Profesor,Solo
Dean Lewis,Solo
Aitana,Solo
Kris Kross Amsterdam,Solo
DJ Durel,Solo
Don Khuma,Solo
Trío Los Josefinos,Group
Tropijazz,Group
Bonez MC,Solo
Robyn,Solo
Mac Miller,Solo
Smokepurpp,Solo
Quavo,Solo
Sheck Wes,Solo
Armin van Buuren,Solo
Lele Pons,Solo
a-ha,Group
Bring Me The Horizon,Group
Bas,Solo
Bryce Vine,Solo
Why Don't We,Group
Paul Rosenberg,Solo
Lil Mosey,Solo
Social House,Group
Silk City,Group
Frenna,Solo
Flipp Dinero,Solo
Guè Pequeno,Solo
Joji,Solo
Loredana,Solo
Marília Mendonça,Solo
GASHI,Solo
Mumford & Sons,Group
Farid Bang,Solo
BROCKHAMPTON,Group
Avril Lavigne,Solo
Veysel,Solo
Ava Max,Solo
Lauren Daigle,Solo
Anderson .Paak,Solo
Gunna,Solo
Bryant Myers,Solo
Marc Anthony,Solo
Kevin Roldan,Solo
KitschKrieg,Group
RM,Solo
Lauren Jauregui,Solo
Normani,Solo
Takeoff,Solo
Felipe Araújo,Solo
Morat,Group
Luciano,Solo
Marilyn Manson,Solo
DJ Jazzy Jeff & The Fresh Prince,Group
Fedez,Solo
Carly Rae Jepsen,Solo
K/DA,Group
Pedro Capó,Solo
JENNIE,Solo
Orelsan,Solo
Mike WiLL Made-It,Solo
Samra,Solo
Wisin & Yandel,Group
MC L da Vinte,Solo
MERO,Solo
Ski Mask The Slump God,Solo
Brett Eldredge,Solo
Stan Kenton,Solo
H.E.R.,Solo
Peter Manos,Solo
Azet,Solo
Ella Fitzgerald,Solo
Nina Nesbitt,Solo
Jessie J,Solo
Céline Dion,Solo
Mariah Carey,Solo
Johnny Mathis,Solo
Hannah Kerr,Solo
LX,Solo
DENNIS,Solo
Márcia Fellipe,Solo
Humberto & Ronaldo,Group
Whitney Houston,Solo
Gabriel Diniz,Solo
MC Kevin o Chris,Solo
Henrique & Juliano,Group
SHAED,Group
Lewis Capaldi,Solo
Gesaffelstein,Solo
Shindy,Solo
Kehlani,Solo
Coez,Solo
James Blake,Solo
Luche,Solo
Mustard,Solo
Vampire Weekend,Group
Shirin David,Solo
Blueface,Solo
Reynmen,Solo
Dominic Fike,Solo
Mabel,Solo
The Rudeboyz,Group
Ultimo,Solo
Eno,Solo
Mahmood,Solo
Irama,Solo
YNW Melly,Solo
The Police,Group
Alicia Keys,Solo
YUNGBLUD,Solo
KC Rebell,Solo
ChocQuibTown,Group
Cauty,Solo
Amenazzy,Solo
Dermot Kennedy,Solo
Tropkillaz,Group
Ninho,Solo
Calboy,Solo
Summer Walker,Solo
Jonas Brothers,Group
Solange,Solo
Dalex,Solo
Kenny Man,Solo
Aaron Smith,Solo
TOMORROW X TOGETHER,Group
Lil Nas X,Solo
The Black Keys,Group
Lunay,Solo
Don Patricio,Solo
John Lundvik,Solo
Maren Morris,Solo
FLETCHER,Solo
Myke Towers,Solo
Rauw Alejandro,Solo
Ufo361,Solo
Tame Impala,Group
Paloma Mami,Solo
Fero47,Solo
Gaullin,Solo
ROSALÍA,Solo
Rammstein,Group
DJ Luian,Solo
Nipsey Hussle,Solo
Aventura,Group
Dardan,Solo
Sech,Solo
Guaynaa,Solo
MEDUZA,Group
Polo G,Solo
Madonna,Solo
TWICE,Group
Lizzo,Solo
DaBaby,Solo
Kina,Solo
Juju,Solo
Luke Combs,Solo
Slipknot,Group
Kontra K,Solo
Duncan Laurence,Solo
Luca Hänni,Solo
KEiiNO,Group
Jhay Cortez,Solo
Joyner Lucas,Solo
RIN,Solo
NLE Choppa,Solo
Herve Pagez,Solo
Elton John,Solo
Guayna,Solo
Lil Tecca,Solo
Gemitaiz,Solo
Nekfeu,Solo
Naomi Scott,Solo
Dreamville,Group
Kalazh44,Solo
Ali Gatie,Solo
Blanco Brown,Solo
Ashley O,Solo
Y2K,Solo
Mambo Kingz,Group
Sam Feldt,Solo
Daniel Caesar,Solo
João Gustavo e Murilo,Solo
MACHETE,Solo
Jeremy Zucker,Solo
Stephanie Poetri,Solo
Dayvi,Solo
Tones And I,Solo
Blue Ivy,Solo
Norm Ender,Solo
Rick Ross,Solo
Residente,Solo
Cordae,Solo
TOOL,Group
Labrinth,Solo
Megan Thee Stallion,Solo
Camilo,Solo
SiR,Solo
Saweetie,Solo
Duki,Solo
WOS,Solo
Bizarrap,Solo
ILLENIUM,Solo
Tainy,Solo
Apache 207,Solo
Miami Yacine,Solo
Lil Tjay,Solo
RAF Camora,Solo
Dímelo Flow,Solo
